variant,prefix,cost_bp,ann_return,ann_vol,raw_sharpe,excess_sharpe,sortino,max_dd,bs_ci_lo,bs_ci_hi
Dynamic L/S,dynamic,10,0.20226989308619348,0.11525380504518304,1.666735051483356,1.2533522462400255,1.5194117217340795,-0.0888827084060382,0.5458305180065925,3.439919433376332
Dynamic L/S,dynamic,20,0.1822759649355763,0.11510310681710428,1.5209785701317813,1.107097150074278,1.3790474850166294,-0.09004607429628579,0.40515991822221264,3.249403729017742
Dynamic L/S,dynamic,50,0.11776405615596586,0.11296707172665006,1.0453471734955138,0.6235821436997938,0.784407702585193,-0.09353617196702856,-0.04673201499785061,2.635287023269514
Dynamic L/S,dynamic,100,0.028367030488537948,0.11286269311324336,0.30358182664659245,-0.11823345791609124,-0.15431306507883577,-0.09935300141826667,-0.7916228489794469,1.7099133383901206
Static L/S,static,10,0.19665906193040272,0.1121158985056258,1.667623065279519,1.2422816125669953,1.6904771616595042,-0.07568267211199077,0.5552813953448615,3.4134119046583367
Static L/S,static,20,0.17688426588513795,0.1120642445970723,1.51756571989075,1.0921267307622085,1.489022937573492,-0.07695371163872199,0.396127294200325,3.219128054358833
Static L/S,static,50,0.11619259351287292,0.1119033477848876,1.0411779210414356,0.6154609908967587,0.8347980826362724,-0.08076683021891533,-0.08234089940150258,2.596211034253926
Static L/S,static,100,0.026230043365537137,0.11216783173858483,0.28582524687361976,-0.1386079679065161,-0.19589779181677136,-0.09324566723714596,-0.9032815807231657,1.7167476651533826
