factor,beta,se_nw,t_stat,p_value
alpha,0.0008332107376141104,0.002137674544785696,0.38977436469293814,0.6967034015069947
Mkt-RF,0.7180281596883027,0.06346493975348655,11.313776747875297,1.1215567034031323e-29
SMB,-0.04713207101614164,0.15923357077816652,-0.2959933058450524,0.7672351936296717
HML,0.31664019095814555,0.07298538901142258,4.3384051965331,1.4352036943728153e-05
RMW,-0.326124656395987,0.1049822460662264,-3.1064743670111263,0.0018933272243030859
CMA,-0.1905559431399424,0.11744730534410425,-1.6224803334707427,0.10470054069888539
MOM,0.16886146430143914,0.10126416962330426,1.6675341824219976,0.09540823331151464
