variant,column,n_observations,sample_start,sample_end,ann_return,ann_volatility,raw_sharpe,excess_sharpe,sortino_ratio,calmar_ratio,max_drawdown,drawdown_duration,skewness,excess_kurtosis,historical_var_99,expected_shortfall_99,hit_rate,best_month,worst_month,bootstrap_mean,bootstrap_std,bootstrap_ci_lo,bootstrap_ci_hi,dsr_deflated_sharpe,dsr_psr,dsr_threshold_sr,psr_threshold_0.0,psr_threshold_0.5,psr_threshold_1.0,mbl_target_0.500,mbl_target_1.000,mbl_target_1.404,mbl_target_1.505,mbl_target_0.824,mbl_target_1.592
Dynamic L/S 20bp (HEADLINE),dynamic_net_20bp,32,2023-07-31,2026-02-27,0.16916005580720705,0.11674232888744139,1.404213922512462,0.995503758645162,1.3840903890434328,1.9576475289727968,-0.08640986352429211,3,-0.697411629360575,0.7226476651494882,0.07130877328638877,0.08640986352429215,0.65625,0.07418309809350335,-0.08640986352429215,1.0604334676850735,0.6763170329542846,-0.09243420555470681,2.5032914083796545,0.3006998603652806,0.3006998603652806,1.77067626705667,0.9773411757075401,0.9012920271292812,0.7177610886070138,inf,inf,inf,,,
Static L/S 20bp,static_net_20bp,32,2023-07-31,2026-02-27,0.1782988406858792,0.1139356444037976,1.505110181921068,1.0868893220801912,1.5858096487051725,2.267009448648553,-0.07864935930997978,2,-0.5950055630312917,0.3494315208184191,0.06704782761519992,0.07864935930997977,0.6875,0.07285240574044777,-0.07864935930997977,1.1493090281779996,0.6776042000214361,-0.006246841697205409,2.655077934474946,0.35004154935402243,0.35004154935402243,1.77067626705667,0.9854890485947829,0.9275700891441552,0.7681205139051269,inf,inf,,inf,,
Bandit L/S 20bp,bandit_net_20bp,32,2023-07-31,2026-02-27,0.09692698613047068,0.12143344153449236,0.824444179529393,0.4330136440440263,0.5363204341007501,0.9528777097005643,-0.101720278629384,7,-0.917630329707571,0.4865814773691439,0.07971204589949281,0.08018948480202766,0.625,0.05329679053106699,-0.08018948480202766,0.4952673412507503,0.6249869703930105,-0.5358289016094269,1.9358605697131352,0.08349278281241174,0.08349278281241174,1.77067626705667,0.8857217931507132,0.6821947272412099,0.3988224994545517,inf,inf,,,inf,
HRP L/S 20bp,hrp_net_20bp,32,2023-07-31,2026-02-27,0.07020426990608053,0.04330236452485126,1.5922164670866121,0.48817183336900555,0.8488900144782576,2.629060093155873,-0.02670318190475771,2,-0.24390740712431774,-0.04927548577777996,0.022660875227948626,0.02670318190475775,0.625,0.029821105128540762,-0.02670318190475775,0.5154882933044371,0.6154649356893228,-0.6581844712322213,1.7911040089501398,0.3901094271886334,0.3901094271886334,1.77067626705667,0.9936045199538418,0.9561589589094827,0.8227692356464188,inf,inf,,,,inf
