date,gross_return,net_return,exposure
2022-05-31,-0.04897712532834109,-0.04897712532834109,1.0
2022-07-29,-0.0169258424510929,-0.01723436903293612,0.6
2022-09-30,-0.04878209896719852,-0.04895125573923319,0.6
2022-11-30,0.0699852859641104,0.06984710311922548,0.4
2023-01-31,-0.0055714702636113335,-0.005809092201334372,0.8
2023-03-31,-0.016817703394220687,-0.01724037928864465,0.8
2023-05-31,-0.021260082668413373,-0.021580745989256807,0.8
2023-07-31,0.09975789891490372,0.099429954916844,1.0
2023-09-29,-0.06356625678198302,-0.06385256694555196,1.0
2023-11-30,0.05604843467855791,0.055708155817621396,1.0
2024-01-31,0.055833276533223675,0.055529975995403956,1.0
2024-03-28,0.13082003802714204,0.13046533662964457,1.0
2024-05-31,-0.000881220646935299,-0.0012688101409774287,1.0
2024-07-31,0.007034068783227321,0.006732886481004705,1.0
2024-09-30,0.043489868483263416,0.043085964326275865,1.0
2024-11-29,0.05121725308013336,0.05080759842207334,1.0
2025-01-31,0.008321464407081702,0.008007781074965838,1.0
2025-03-31,-0.03710830149412658,-0.03748664452970813,1.0
2025-05-30,0.05990769352717469,0.059597110856879625,0.8
2025-07-31,0.028114410870004436,0.02778351441054022,1.0
2025-09-30,0.05619399194444563,0.05589986776821094,1.0
2025-11-28,0.04404206112632569,0.04352243338702584,1.0
2026-01-30,0.07278288285429313,0.07226421979279447,1.0
2026-03-19,-0.02057339862745411,-0.020920840382751518,1.0
