date,symbol,weight
2022-03-31,A,-0.02132544699806544
2022-03-31,ADBE,-0.006289865423470086
2022-03-31,ADSK,-0.00593963267545382
2022-03-31,AES,-0.014053023811638437
2022-03-31,AFL,0.01717889760510149
2022-03-31,AIG,0.006870176671600262
2022-03-31,AMD,0.005536152632536643
2022-03-31,AMG,-0.009338469172306824
2022-03-31,AMT,-0.029037287977799288
2022-03-31,APD,-0.015613836942003679
2022-03-31,AVY,-0.013055145951749033
2022-03-31,AXP,0.009484151904918362
2022-03-31,BA.L,0.007355031240952499
2022-03-31,BIIB,-0.01212560306131689
2022-03-31,BMY,0.026670544957626472
2022-03-31,BNZL.L,0.008179038831296335
2022-03-31,BR,-0.012434647171926341
2022-03-31,BRK.B,0.018905246289332902
2022-03-31,BXP,0.019013153413291004
2022-03-31,CB,0.01342968591150452
2022-03-31,CCI,-0.027588984787308236
2022-03-31,CCL,-0.007516958242011716
2022-03-31,CF,0.009704597941223284
2022-03-31,CHTR,-0.025145418418826997
2022-03-31,CLX,-0.01165182312075182
2022-03-31,CMA,0.008663518333657586
2022-03-31,COP,0.014066336952920517
2022-03-31,COST,0.01966820844299948
2022-03-31,CPRI,0.00885401024885266
2022-03-31,CRM,-0.00648407286051012
2022-03-31,CSX,0.007417307202089531
2022-03-31,CTSH,0.012543778685587323
2022-03-31,DVN,0.005495404527840713
2022-03-31,EDEN.PA,-0.01948884569808814
2022-03-31,EL,-0.010845188723718212
2022-03-31,ENGI.PA,0.009962556229995834
2022-03-31,EQIX,-0.013599378272752337
2022-03-31,F,0.010345262243963213
2022-03-31,FANG,0.005842659836614437
2022-03-31,FCX,0.010299597826521994
2022-03-31,FE,0.02265772697825849
2022-03-31,FIS,-0.008508598649878383
2022-03-31,FRES.L,-0.007917180259967843
2022-03-31,FTI,-0.011771288635871749
2022-03-31,GD,0.011262064698786404
2022-03-31,GLEN.L,0.011774227080104921
2022-03-31,GLW,0.010461219288690602
2022-03-31,GOOG,0.01586871813544268
2022-03-31,GOOGL,0.015657403875582673
2022-03-31,GRMN,-0.013691906224383297
2022-03-31,GWW,0.007954106214358238
2022-03-31,HII,0.008984611287381638
2022-03-31,HOG,0.009703733703005432
2022-03-31,HSIC,0.019549922809489712
2022-03-31,IAG.L,-0.01150131023137963
2022-03-31,IDXX,-0.020222345221170668
2022-03-31,ILMN,-0.009820874841806581
2022-03-31,IRM,0.014685280091562319
2022-03-31,IVG.MI,-0.008743306836938547
2022-03-31,IVZ,-0.013975000068319225
2022-03-31,JBHT,0.007608777505404486
2022-03-31,KEY,0.009629574487414088
2022-03-31,KIM,0.013797431105620855
2022-03-31,KMI,-0.025670795978680886
2022-03-31,KMX,-0.009705211128531828
2022-03-31,KO,0.026517381119468705
2022-03-31,KR,0.01171443531338124
2022-03-31,KSS,0.00757645010842397
2022-03-31,LGEN.L,-0.018316828196199397
2022-03-31,LMT,0.0073954412724938886
2022-03-31,LW,-0.009716989458438083
2022-03-31,M,0.00413811610672927
2022-03-31,MAA,0.023545285272733054
2022-03-31,MAR,0.014898212322353428
2022-03-31,MBG.DE,0.008595512992274906
2022-03-31,MCHP,-0.005968320613872857
2022-03-31,MCO,-0.021933815985659452
2022-03-31,MGM,0.011659201002657948
2022-03-31,MNST,-0.007444258806656226
2022-03-31,MSCI,-0.01194339513029292
2022-03-31,MT.AS,0.010805922640209431
2022-03-31,NCLH,-0.007085452766539734
2022-03-31,NI,0.0235228707502829
2022-03-31,NKTR,-0.0060503130009741295
2022-03-31,NOC,0.006846293929559393
2022-03-31,NUE,0.006249498518242277
2022-03-31,NVDA,0.009443916897180679
2022-03-31,NXT.L,-0.011841530274471114
2022-03-31,OKE,-0.012495898478278663
2022-03-31,OMC,0.009828437495174777
2022-03-31,ORCL,-0.007457111604937302
2022-03-31,OXY,0.008314929681926844
2022-03-31,PCAR,0.008831607758868288
2022-03-31,PFE,0.013511871426573679
2022-03-31,PNR,-0.019572904387658227
2022-03-31,PPG,-0.012247680852581355
2022-03-31,PPL,-0.03001673931193719
2022-03-31,PRGO,-0.010872872819119748
2022-03-31,PRU,0.013587728974383687
2022-03-31,PRU.L,-0.010343366178237579
2022-03-31,PSA,0.024681689649291565
2022-03-31,QCOM,0.012652146572617193
2022-03-31,REGN,0.011029459808586398
2022-03-31,RHI,0.007940970981563721
2022-03-31,RL,0.01197068845075276
2022-03-31,ROK,-0.022096804237325487
2022-03-31,ROST,-0.013025820634150007
2022-03-31,RTO.L,-0.018646017876999488
2022-03-31,SBAC,-0.02695617132082672
2022-03-31,SBUX,-0.013244489058404417
2022-03-31,SLG,0.012808357468094375
2022-03-31,SPGI,-0.026536835137868586
2022-03-31,STX,0.007058018753639766
2022-03-31,STZ,-0.01824176476628509
2022-03-31,SWKS,-0.004612983830203305
2022-03-31,TEF.MC,0.012092623455985154
2022-03-31,TRIP,-0.012423626041664963
2022-03-31,UAL,-0.01042647776184343
2022-03-31,UHS,0.010837584523384498
