date,gross_return,net_return
2022-03-31,0.0,-0.001824381950432078
2022-04-29,-0.00012775835079892328,-0.0012599116404916314
2022-05-31,-0.022759703392301156,-0.02476567170921925
2022-06-30,0.023150447639558758,0.02175066935305411
2022-07-29,-0.03953576818933724,-0.040518194612087936
2022-08-31,0.02667035196155476,0.025322312731035707
2022-09-30,0.040475670169849876,0.03948524071914641
2022-10-31,-0.020656955114301545,-0.022050773655896524
2022-11-30,-0.04326840585683356,-0.044362134031669345
2022-12-30,-0.014986297362081125,-0.0163974042203828
2023-01-31,-0.03656238637512177,-0.038436297512977044
2023-02-28,0.018375482061789405,0.016950409482845236
2023-03-31,0.008845494499789108,0.007382290487220954
2023-04-28,-0.01791035980572042,-0.019344014557980134
2023-05-31,0.018736297211508823,0.01695508163956187
2023-06-30,-0.0102328152930371,-0.011630078094780253
2023-07-31,-0.0283378774998303,-0.02977427822502673
2023-08-31,0.013382998990192352,0.012098962176905911
2023-09-29,0.009359051429681076,0.008150452902145838
2023-10-31,-0.005963895682695397,-0.007418496663529197
2023-11-30,-0.006081424379664746,-0.00745276203003509
2023-12-29,-0.045181874993030724,-0.04645538153043483
2024-01-31,0.05086155546757931,0.048906761932895955
2024-02-29,0.05396239817232318,0.052830264645428004
2024-03-28,0.0027702682514463284,0.001627350494201348
2024-04-30,-0.0011569364327641551,-0.0026275645527779664
2024-05-31,0.01608250300319991,0.014966207000958106
2024-06-28,-0.0038589991108227695,-0.005050326899868025
2024-07-31,-0.022089794697975562,-0.023626657221466042
2024-08-30,0.02511266163466419,0.023598626580009958
2024-09-30,-0.002294118042120874,-0.00350651297738523
2024-10-31,0.03396523841011301,0.032550153488625784
2024-11-29,0.05219810439931649,0.05079277414273677
2024-12-31,-0.021276406903168343,-0.022582914008069877
2025-01-31,0.030309693689231976,0.02879539238980233
2025-02-28,-0.0028424848224938293,-0.003911472843580528
2025-03-31,-0.039869437080600645,-0.04144350992245691
2025-04-30,-0.0008244410297307825,-0.002977697173091142
2025-05-30,0.006790693341022225,0.005567773070904877
2025-06-30,-0.0006133217819309644,-0.001657813380654647
2025-07-31,-0.0007436486718745972,-0.0023677104099312707
2025-08-29,-0.01968352002158258,-0.020925462732660948
2025-09-30,0.0576075819735542,0.05636715213200431
2025-10-31,0.03801405466154195,0.03637237146877271
2025-11-28,0.038721513995741974,0.03724631887852612
2025-12-31,0.020338703270567526,0.018661693670666946
2026-01-30,0.04868282600613005,0.0466127397338832
2026-02-27,0.03931719034845127,0.037871052750301955
2026-03-19,0.0028688076952154695,0.0014722712722235682
